W8,NightmareWGovt_1,NightmareWGovt_2,NightmareWGovt_3,NightmareWGovt_5,NightmareWGovt_6,NightmareWGovt_7,NightmareWGovt_8,NightmareWGovt_9,NightmareWGovt_10,StopReform
.922101871,Yes,No,,,Yes,,No,No,No,Don't know
.51181984,No,No,No,Yes,No,No,No,No,No,
.5111390179999999,No,No,No,No,,No,No,No,Yes,
.764812009,Yes,Yes,Yes,Yes,,Yes,No,No,No,
1.365255032,Yes,No,No,No,,No,No,No,No,
.570259797,No,No,No,No,No,No,No,No,Yes,
.871004378,No,Yes,No,No,,No,No,No,No,
.74438164,Yes,,No,No,No,No,No,No,No,
.707101681,No,No,No,No,No,No,No,No,Yes,
1.172776086,,Yes,Yes,Yes,Yes,Yes,No,No,No,Don't know
.599013087,,No,No,No,Yes,No,No,No,No,Don't know
1.291986447,Yes,No,No,No,No,No,No,No,No,
.841747186,Yes,,No,No,No,No,No,No,No,
.781930058,No,No,No,No,No,No,No,No,Yes,
.732172112,Yes,,,,Yes,,No,No,No,Greens
.960811853,No,Yes,Yes,Yes,,Yes,No,No,No,
.567263338,No,Yes,Yes,Yes,No,Yes,No,No,No,
1.156380424,No,No,,,Yes,No,No,No,No,Don't know
.849940518,Yes,,No,,Yes,No,No,No,No,Plaid Cymru
.990092349,Yes,No,No,No,Yes,No,No,No,No,Labour
.784960031,Yes,,No,Yes,Yes,No,No,No,No,Labour
.763626264,,No,No,,Yes,No,No,No,No,Labour
2.174770839,Yes,,No,,Yes,No,No,No,No,Don't know
1.003927986,No,No,No,No,,Yes,No,No,No,
1.818874016,Yes,,No,No,No,No,No,No,No,
.503240251,Yes,,No,,Yes,No,No,No,No,Labour
.630452123,,Yes,No,Yes,No,No,No,No,No,
.954403506,Yes,,No,,Yes,No,No,No,No,Plaid Cymru
.8676241609999999,Yes,,,,Yes,No,No,No,No,Labour
1.158302795,No,Yes,No,No,,No,No,No,No,
.331082777,Yes,No,No,,Yes,No,No,No,No,Plaid Cymru
.619634284,No,No,Yes,No,,Yes,No,No,No,
.847607608,No,Yes,No,,Yes,No,No,No,No,Plaid Cymru
.683551912,Yes,No,No,No,No,No,No,No,No,
.96180398,No,No,No,No,No,No,No,Yes,No,
1.473233465,,No,No,Yes,No,No,No,No,No,
.866684019,No,Yes,No,,No,No,No,No,No,
.659402852,,Yes,No,Yes,No,No,No,No,No,
.555445253,,Yes,Yes,Yes,,Yes,No,No,No,
1.748944513,Yes,No,,No,Yes,No,No,No,No,Don't know
.476226904,,Yes,No,No,,Yes,No,No,No,
.563852005,Yes,,No,,Yes,No,Yes,No,No,Labour
.814513357,No,No,No,No,No,No,No,No,Yes,
1.349155842,No,,No,No,Yes,No,No,No,No,Plaid Cymru
.550191576,No,Yes,No,Yes,,No,No,No,No,
2.107442159,No,No,No,No,No,No,No,No,Yes,
.557150844,,Yes,No,Yes,,Yes,No,No,No,
.951012274,No,No,No,,Yes,No,No,No,No,Plaid Cymru
.692307695,,Yes,Yes,Yes,,Yes,No,No,No,
.592939287,Yes,,No,,Yes,,No,No,No,Greens
.515974676,No,Yes,Yes,Yes,,Yes,No,No,No,
.423429043,No,Yes,No,Yes,,Yes,No,No,No,
.788323475,,Yes,No,Yes,,No,No,No,No,
.497539881,,No,Yes,Yes,,Yes,No,No,No,
.826291072,Yes,No,No,No,Yes,No,No,No,No,None of these
.743787041,Yes,Yes,No,,No,No,No,No,No,
.6348624349999999,No,Yes,Yes,Yes,No,Yes,No,No,No,
1.866747356,Yes,,No,No,No,No,No,No,No,
1.154279945,No,No,No,,Yes,No,No,No,No,Plaid Cymru
.605560375,Yes,No,No,,Yes,,No,No,No,Plaid Cymru
.590965612,No,Yes,No,No,No,No,No,No,No,
